,Average Battery Life (in hours),Batteries,Brand,Card Description,Chipset Brand,Color,Computer Memory Type,Flash Memory Size,Graphics Coprocessor,Hard Drive,Hard Drive Interface,Item Dimensions  LxWxH,Item Weight,Item model number,Max Screen Resolution,Memory Speed,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Operating System,Optical Drive Type,Power Source,Processor,Processor Brand,Processor Count,Product Dimensions,RAM,Series,Standing screen display size,Wireless Type,price,rating,Hard Drive Rotational Speed,Hardware Platform,Screen Resolution,Graphics Card Ram Size,Voltage,National Stock Number,Rear Webcam Resolution,Package Dimensions,ASIN,Date First Available,Manufacturer,Manufacturer Part Number,Ruling,Batteries Included?,Batteries Required?,Display Style,Included Components,Is Discontinued By Manufacturer,Item Package Quantity,Part Number,Size,Style,Usage,Warranty Description,Department
14,,1 Lithium ion batteries required. (included),Razer,Dedicated,Intel,,DDR4 SDRAM,16,NVIDIA GeForce RTX 3060,SSD,,8.66 x 12.59 x 0.66 inches,3.92 pounds,RZ09-0370BEA3-R3U1,2560 x 1440,,,4,Windows 10 Home,,,3.3 GHz ryzen_9,AMD,1,8.66 x 12.59 x 0.66 inches,16 GB DDR4,Razer Blade 14,14 Inches,"Bluetooth, 802.11a/b/g/n/ac",,4.5,,PC,2560 x 1440 pixels,8 GB,,,,,,,,,,,,,,,,,,,,,
15,10 Hours,1 Lithium Metal batteries required. (included),Lenovo,Integrated,Intel,Blizzard White,Unknown,64,PowerVR SGX543,64 GB Flash Memory Solid State,Solid State,11.5 x 0.77 x 8.48 inches,2.64 pounds,81HY0000US,1366X768 Pixels,1600 MHz,,1,Chrome OS,No Optical Drive,AC & Battery,2.1 GHz mediatek_mt8127,Mediatek,4,11.5 x 0.77 x 8.48 inches,4 GB LPDDR3,IdeaPad C330,11.6 Inches,802.11ac,$229.90,4.5,7200 RPM,Chrome,1366x768,,,,,,,,,,,,,,,,,,,,,,
16,,1 Lithium Polymer batteries required. (included),Lenovo,Integrated,AMD,Abyss Blue,DDR4 SDRAM,,,SSD,Solid State,12.76 x 8.49 x 0.78 inches,3.1 pounds,82KT00AMUS,1920 x 1080 Pixels,,1,1,Windows 10 Home,No Optical Drive,Battery Powered,2.1 ryzen_5,AMD,1,12.76 x 8.49 x 0.78 inches,8 DDR4,Ideapad 3 14 Laptop,14,Bluetooth,$629.98,4.6,,PC,,,,,,,,,,,,,,,,,,,,,,,
17,,1 Lithium Polymer batteries required. (included),MSI,Dedicated,NVIDIA,Carbon Gray,DDR4 SDRAM,16,Nvidia RTX 3060,512 GB SSD,Solid State,0.63 x 14.1 x 9.76 inches,3.73 pounds,Stealth 15M A11UEK-009,1920 x 1080 Pixels,3200 MHz,,2,Win 10 Home,No Optical Drive,,3.3 GHz core_i7,Intel,4,0.63 x 14.1 x 9.76 inches,16 GB DDR4,Stealth 15M A11UEK-009,15.6 Inches,Bluetooth,"$1,455.43",4.4,,PC,1920 x 1080 pixels,6 GB,,,,,,,,,,,,,,,,,,,,,
18,,1 Lithium ion batteries required. (included),ASUS,GeForce RTX 3070,NVIDIA,Original Black,DDR4 SDRAM,1,NVIDIA GeForce RTX 3070,1 TB,,13.94 x 1.07 x 10.2 inches,5.07 pounds,G513QR-ES96,1920 x 1080 Pixels,3200 MHz,,4,Windows 10 Home,No Optical Drive,,4.5 GHz ryzen_9,AMD,8,13.94 x 1.07 x 10.2 inches,16 GB DDR4,ROG Strix G15,15.6 Inches,"Bluetooth, 802.11ax","$2,019.00",4.4,,PC,1920 x 1080 pixels,8 GB,20 Volts,,,,,,,,,,,,,,,,,,,,
19,,1 Lithium Polymer batteries required. (included),Acer,Integrated,Intel,Silver,DDR4 SDRAM,128,Intel UHD Graphics,128 GB SSD,Solid State,14.31 x 9.39 x 0.7 inches,4.19 pounds,A515-56-36UT,1920 x 1080 Pixels,4.1 GHz,1,3,Windows 10 S,No Optical Drive,Battery Powered,4.1 GHz core_i3,Intel,2,14.31 x 9.39 x 0.7 inches,4 GB DDR4,A515-56-36UT,15.6 Inches,Bluetooth,$415.00,4.3,,,,,,,,,,,,,,,,,,,,,,,,,
20,10 Hours,1 Lithium Polymer batteries required. (included),Lenovo,Integrated,Intel,Business Black,Unknown,64,,64 GB Flash Memory Solid State,Solid State,12.82 x 0.82 x 9.15 inches,3.3 pounds,81JW0000US,1920X1080 Pixels,1866 MHz,,1,Chrome OS,No Optical Drive,Battery Powered,2.1 GHz mtk_8121,Mediatek,4,12.82 x 0.82 x 9.15 inches,4 GB LPDDR3,Ideapad S330,14 Inches,802.11ac,$209.00,4.3,7200 RPM,Chrome,,2 MB,,,,,,,,,,,,,,,,,,,,,
21,10 Hours,1 Lithium Polymer batteries required. (included),Lenovo,Integrated,PowerVR,Blizzard White,,,PowerVR GX6250,64 GB flash memory,PCIE x 2,8.48 x 11.5 x 0.77 inches,2.65 pounds,82HG0006US,1366 x 768 Pixels,,,1,Chrome OS,No Optical Drive,Battery Powered,2.1 GHz mediatek_mt8183,Mediatek,1,8.48 x 11.5 x 0.77 inches,4 GB LPDDR3,Ideapad Flex 3 Chromebook,11.6,801.11ac,$238.00,3.8,,PC,,,,82HG0006US,,,,,,,,,,,,,,,,,,,
22,10 Hours,1 Lithium ion batteries required. (included),Acer,Integrated,Intel,Black,DDR4 SDRAM,32,Intel,32 GB embedded multimediacard,Solid State,11.65 x 8.11 x 0.79 inches,0.01 ounces,CP311-2H-C679,1366 x 768 Pixels,2.8 GHz,,2,Chrome OS,No Optical Drive,Battery Powered,2.8 GHz celeron,Intel,2,11.65 x 8.11 x 0.79 inches,4 GB LPDDR4,CP311-2H-C679,11.6 Inches,Bluetooth,$212.00,4.6,,PC,,,,NX.HKKAA.005,,,,,,,,,,,,,,,,,,,
23,,1 Lithium Polymer batteries required. (included),MSI,Dedicated,NVIDIA,Core Black,,16,Nvidia RTX 3070,512 GB SSD,Solid State,0.94 x 14.13 x 10.2 inches,4.63 pounds,Pulse GL66 11UGK-001,1920 x 1080 Pixels,3200 MHz,,3,Win 10 Home,No Optical Drive,,2.4 GHz core_i7,Intel,8,0.94 x 14.13 x 10.2 inches,16 GB DDR4,Pulse GL66 11UGK-001,15.6 Inches,Bluetooth,"$1,608.68",4.4,,PC,1920 x 1080 pixels,8 GB,,,,,,,,,,,,,,,,,,,,,
24,,1 Lithium Metal batteries required. (included),ASUS,Integrated,Intel,Black,DDR4 SDRAM,128,Intel UHD Graphics 600,128 GB eMMC,,14.18 x 9.31 x 0.71 inches,3.59 pounds,L510MA-DS04,1920 x 1080,2.8 GHz,2,,Windows 10 Home,No Optical Drive,Battery Powered,1.1 GHz celeron_n4020,Intel,1,14.18 x 9.31 x 0.71 inches,4 GB DDR4,L510MA-DS04,15.6,"802.11n, 802.11ac",$270.00,4.5,,,,,,,,,,,,,,,,,,,,,,,,,
25,13.5 Hours,1 Lithium Metal batteries required. (included),HP,Integrated,Intel,Mineral Silver,DDR4 SDRAM,4,,Embedded MultiMediaCard,,12.82 x 8.6 x 0.7 inches,3.2 pounds,14a-na0010nr,1366 x 768 Pixels,2.6 GHz,,,Chrome OS,No Optical Drive,Battery Powered,1.1 GHz celeron_n,Intel,2,12.82 x 8.6 x 0.7 inches,4 GB LPDDR4,Chromebook,14 Inches,Bluetooth,$179.99,4.5,,,,,,,,,,,,,,,,,,,,,,,,,
26,5 Hours,1 Lithium ion batteries required. (included),Acer,Integrated,AMD,Silver,DDR4 SDRAM,512,AMD Radeon Graphics,Flash Memory Solid State,USB,12.73 x 8.62 x 0.63 inches,2.65 pounds,SF314-42-R9YN,1920 x 1080,4.1 GHz,1,1,Windows 10 Home,No Optical Drive,Battery Powered,4.1 GHz ryzen_7_4700u,AMD,8,12.73 x 8.62 x 0.63 inches,8 GB LPDDR4,SF314-42-R9YN,14 Inches,802.11ax,$668.32,4.5,,,,,,,,,,,,,,,,,,,,,,,,,
27,11 Hours,1 Lithium ion batteries required. (included),HP,Integrated,Intel,Ceramic White,SDRAM,32,Intel HD Graphics 500,eMMC,USB,8.84 x 13.27 x 0.72 inches,3.58 pounds,14-ca051nr,1920 x 1080 Pixels,,2,,Chrome OS,No Optical Drive,Battery Powered,2.4 GHz celeron_n3350,Intel,2,8.84 x 13.27 x 0.72 inches,4 GB LPDDR4,HP Chromebook 14 Laptop,14 Inches,"Bluetooth, 802.11a/b/g/n/ac",$279.99,4.5,,PC,,,,,,,,,,,,,,,,,,,,,,,
28,12 Hours,1 Lithium Metal batteries required. (included),HP,Integrated,Intel,Royal Blue,DDR3 SDRAM,32,Intel UHD Graphics 600,Embedded MultiMediaCard,,11.08 x 7.59 x 0.66 inches,2.37 pounds,11-ak0010nr,1920 x 1080 Pixels,2.6 GHz,,3,Windows 10 Home,No Optical Drive,Battery Powered,1.1 GHz celeron,Intel,2,11.08 x 7.59 x 0.66 inches,4 GB DDR3L,HP Stream 11,11.6 Inches,"Bluetooth, 802.11ac",$216.99,4.4,,PC,1920 x 1080 pixels,,,,,,,,,,,,,,,,,,,,,,
29,,1 Lithium ion batteries required. (included),ASUS,,,Silver,DDR3 SDRAM,64,,64 GB emmc,USB,12.64 x 8.15 x 0.65 inches,3.31 pounds,C433TA-AS384T,1920 x 1080 Pixels,3.4 GHz,,,Chrome OS,,,,Intel,,12.64 x 8.15 x 0.65 inches,8 GB,ASUS Chromebook,14 Inches,,$549.00,4.4,,Chrome,,,,,,,,,,,,,,,,,,,,,,,
30,15.45 Hours,1 Lithium Polymer batteries required. (included),HP,Integrated,Integrated,Snow White,SDRAM,32,,32 GB Embedded MultiMediaCard,USB,7.59 x 11.22 x 0.66 inches,2.36 pounds,11a-na0021nr,1366 x 768 Pixels,,2,,Chrome OS,No Optical Drive,Battery Powered,2 GHz mediatek_mt8183,Mediatek,8,7.59 x 11.22 x 0.66 inches,4 GB LPDDR4,HP 11 Chromebook,11.6 Inches,"Bluetooth, 802.11a/b/g/n/ac",$199.99,4.5,,Google,,,,,,,,,,,,,,,,,,,,,,,
31,2 	years,1 Lithium ion batteries required. (included),Lenovo,Integrated,Intel,Black,DDR4 SDRAM,512 GB,Intel UHD Graphics 620,512 GB SSD,Solid State,14.48 x 9.64 x 0.74 inches,3.75 pounds,ThinkPad E15,1920x1080 Pixels,,1,,Windows 10 Pro,,AC & Battery,1.6 GHz core_i5,Intel,4,14.48 x 9.64 x 0.74 inches,16 GB SO-DIMM DDR4,ThinkPad E15 Business Laptop,15.6 Inches,802.11ac,"$1,116.99",4.5,,PC,1920x1080,,,,1.2 MP,,,,,,,,,,,,,,,,,,
32,,1 Lithium ion batteries required. (included),ASUS,Dedicated,AMD,Slate Gray,DDR4 SDRAM,512,Radeon™ RX Vega 10 Graphics,512 GB SSD,Solid State,14.1 x 9.1 x 0.8 inches,3.53 pounds,F512DA-NH77,1920X1080 Pixels,,,,Windows 10 Home,,,4 GHz ryzen_7_3700u,AMD,4,14.1 x 9.1 x 0.8 inches,8 GB DDR4,VivoBook 15,15.6 Inches,802.11ac,$638.90,4.6,,PC,,,,,,,,,,,,,,,,,,,,,,,
33,15 Hours,1 Lithium Metal batteries required. (included),HP,Integrated,MediaTek,Ash Gray,SDRAM,32,MediaTek,Embedded MultiMediaCard,USB,7.59 x 11.22 x 0.66 inches,2.36 pounds,11a-na0010nr,1361 x 768 Pixels,,2,,Chrome OS,No Optical Drive,Battery Powered,2 GHz mediatek_mt8183,Mediatek,8,7.59 x 11.22 x 0.66 inches,4 GB LPDDR4,HP 11a Chrombook,11.6 Inches,Bluetooth,$132.99,4.5,,PC,1366 x 768,,,,,,,,,,,,,,,,,,,,,,
34,8 Hours,1 Lithium ion batteries required. (included),HP,Integrated,Intel,Natural Silver,DDR4 SDRAM,256,Intel Iris Xe,SSD,Solid State,15.78 x 10.15 x 0.78 inches,4.6 pounds,17-cn0021nr,1600 x 900 Pixels,,,,Windows 10 Home,No Optical Drive,Battery Powered,4.2 GHz core_i5,Intel,4,15.78 x 10.15 x 0.78 inches,8 GB DDR4,17-cn0021nr,17.3 Inches,"Bluetooth, 802.11ax",$630.00,4.2,5400 RPM,PC,1600 x 900 pixels,,,,,,,,,,,,,,,,,,,,,,
35,,1 Lithium ion batteries required. (included),Razer,Dedicated,Intel,,DDR4 SDRAM,32,,SSD,Thunderbolt 3,9.25 x 13.98 x 0.62 inches,4.4 pounds,RZ09-0409CE53-R3U1,3840 x 2160 Pixels,,,4,Windows 10 Home,No Optical Drive,,2.5 GHz core_i9,Intel,1,9.25 x 13.98 x 0.62 inches,32 GB DDR4,Blade 15,15 Inches,,,4.2,,PC,3840 x 2160,,,,2 MP,,,,,,,,,,,,,,,,,,
36,20 Hours,1 Lithium ion batteries required. (included),Samsung Electronics,Integrated,Intel,Mystic Blue,,512,,SSD,Solid State,13.99 x 8.89 x 0.46 inches,2.31 pounds,NP950XDB-KB1US,1920 x 1080 Pixels,,,1,Windows 10 Home,No Optical Drive,Battery Powered,2.8 GHz core_i7,Intel,1,13.99 x 8.89 x 0.46 inches,16 GB LPDDR4,Galaxy Book Pro,15.6 Inches,"Bluetooth, 802.11ax","$1,117.00",4.4,,,,,,,,,,,,,,,,,,,,,,,,,
37,,1 Lithium ion batteries required. (included),Dell,NVIDA GeForce MX450,NVIDIA,Silver,DDR4 SDRAM,512,NVIDIA GeForce MX450 with 2GB GDDR6,512 GB SSD,Solid State,8.27 x 11.68 x 0.68 inches,2.78 pounds,i5310-7916SLV-PUS,2560 x 1600 Pixels,4267 MHz,,2,Windows 10 Home,No Optical Drive,,4.8 GHz core_i7,Intel,4,8.27 x 11.68 x 0.68 inches,16 GB LPDDR4,Inspiron 13 5310,13.3 Inches,Bluetooth,"$1,093.66",4.2,,PC,2560 x 1600 pixels,2 GB,,,0.92 MP,,,,,,,,,,,,,,,,,,
38,12 Hours,1 Lithium Polymer batteries required. (included),Acer,Dedicated,NVIDIA,Gold,DDR4 SDRAM,512,NVIDIA GeForce RTX 3050Ti,512 GB SSD,Solid State,12.71 x 8.35 x 0.7 inches,3.06 pounds,SFX14-41G-R1S6,1920 x 1080 Pixels,,,3,Windows 10 Home,No Optical Drive,Battery Powered,1.9 GHz amd_ryzen_7,AMD,8,12.71 x 8.35 x 0.7 inches,16 GB LPDDR4,SFX14-41G-R1S6,14 Inches,802.11ax,"$1,199.99",4.4,,Linux,,4 GB,,,,,,,,,,,,,,,,,,,,,
39,,1 Lithium ion batteries required. (included),Razer,Dedicated,NVIDIA,Black,DDR4 SDRAM,256,NVIDIA GeForce GTX 1650 Ti,SSD,USB,9.25 x 13.98 x 0.81 inches,4.5 pounds,RZ09-03519E11-R3U1,1920 x 1080 Pixels,,,3,Windows 10,No Optical Drive,,5 GHz corei7_10750h,Intel,6,9.25 x 13.98 x 0.81 inches,16 GB DDR4,Razer Blade 15 Base,15.6 Inches,802.11a/b/g/n/ac,"$1,248.90",4.6,,PC,,,,,,,,,,,,,,,,,,,,,,,
40,16 Hours,1 Lithium ion batteries required. (included),Acer,Integrated,Intel,,,256,Intel Iris Xe Graphics,Flash Memory Solid State,USB 3.2,12.73 x 8.62 x 0.63 inches,2.65 pounds,SF314-59-75QC,1920x1080 Pixels,,1,2,Windows 10 Home,No Optical Drive,Battery Powered,4.7 GHz core_i7,Intel,4,12.73 x 8.62 x 0.63 inches,8 GB LPDDR4,SF314-59-75QC,14 Inches,Bluetooth,$714.00,4.3,,,,,,,,,,,,,,,,,,,,,,,,,
41,,1 Lithium ion batteries required. (included),ASUS,Dedicated,NVIDIA,Gray,DDR4 SDRAM,1,NVIDIA GeForce GTX 1650 Ti,1 TB SSD,Solid State,13.9 x 9.2 x 0.7 inches,4.41 pounds,UX535LI-XH77T,1920 x 1080 Pixels,2666 MHz,,1,Windows 10 Pro,No Optical Drive,,5 GHz corei7_10750h,Intel,6,13.9 x 9.2 x 0.7 inches,16 GB DDR4,ZenBook,15.6 Inches,"Bluetooth, 802.11ax","$1,499.99",4.3,,PC,1920 x 1080 pixels,4 GB,20 Volts,,,,,,,,,,,,,,,,,,,,
42,,1 Lithium ion batteries required. (included),ASUS,RTX 2060,NVIDIA,,DDR4 SDRAM,1,NVIDIA® GeForce® RTX 2060,1 TB,USB,14.1 x 9.7 x 0.9 inches,5.5 pounds,UX581LV-XS74T,3840X2160 Pixels,,,,Windows 10 Pro,,,5 GHz corei7_10750h,Intel,6,14.1 x 9.7 x 0.9 inches,16 GB DDR4,ASUS ZenBook,15.6 Inches,"Bluetooth, 802.11ax","$2,489.99",4.4,,,,,100240 Volts,,,,,,,,,,,,,,,,,,,,
43,,1 Lithium ion batteries required. (included),ASUS,GeForce RTX 3050 Ti,NVIDIA,Eclipse Gray,DDR4 SDRAM,1,NVIDIA GeForce RTX 3050 Ti,1 TB,,13.94 x 10.2 x 1.02 inches,4.63 pounds,G513QE-ES76,1920 x 1080 Pixels,3200 MHz,,4,Windows 10 Home,No Optical Drive,,4.4 GHz ryzen_7,AMD,8,13.94 x 10.2 x 1.02 inches,16 GB DDR4,ROG Strix G15,15.6 Inches,"Bluetooth, 802.11ax",,4.5,,PC,1920 x 1080 pixels,4 GB,20 Volts,,,,,,,,,,,,,,,,,,,,
44,,1 Lithium Polymer batteries required. (included),ASUS,Integrated,Intel,Slate Grey,DDR4 SDRAM,128,Intel UHD Graphics,128 GB SSD,USB 3.2,14.2 x 9.2 x 0.78 inches,3.97 pounds,F515JA-AH31,1920 x 1080 Pixels,3.4 GHz,2,2,Windows 10 S,No Optical Drive,,3.4 GHz core_i3,Intel,2,14.2 x 9.2 x 0.78 inches,4 GB DDR4,VivoBook 15,15.6 Inches,"Bluetooth, 802.11ac",$389.00,4.6,,PC,1920 x 1080,4 GB,19 Volts,,,,,,,,,,,,,,,,,,,,
45,,1 Lithium Metal batteries required. (included),Lenovo,Integrated,Intel,Abyss Blue,DDR4 SDRAM,256,Intel UHD Graphics 620,256 GB SSD,Serial ATA,13 x 8 x 0.76 inches,1 pounds,81WR000FUS,1366 x 768 Pixels,4.1 GHz,1,2,Windows 10 Home,No Optical Drive,Battery Powered,9 GHz core_i3_family,Intel,2,13 x 8 x 0.76 inches,8 GB DDR,Lenovo Ideapad,15,802.11ac,$439.00,4.4,,PC,,,,,,,,,,,,,,,,,,,,,,,
46,,1 Lithium ion batteries required. (included),ASUS,GeForce RTX 3050 Ti,NVIDIA,Eclipse Gray,DDR4 SDRAM,512,NVIDIA GeForce RTX 3050 Ti,512 GB,USB,15.71 x 10.59 x 0.94 inches,5.73 pounds,TUF706HE-DS74,1920 x 1080 Pixels,3200 MHz,,3,Windows 10 Home,No Optical Drive,,4.6 GHz apple_ci7,Intel,8,15.71 x 10.59 x 0.94 inches,16 GB DDR4,TUF Gaming F17,17.3 Inches,"Bluetooth, 802.11ax","$1,368.13",4.5,,PC,1920 x 1080 pixels,4 GB,20 Volts,,,,,,,,,,,,,,,,,,,,
